web-scraper-order,web-scraper-start-url,links,links-href,Name,Address,Pincode,Phone,Business_hours,
1674918473-418,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43277/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"1st Floor, Renuja Dham, Near Raymond Showroom, Mira Bhayander Road, Bhayandar East, Thane",401105,(022) 67305236,Monday-Sunday 8am - 9pm,
1674918504-419,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43272/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No 6/D, Ground Floor, Bsel Tech Park, Plot ,No 39/5,39/5a, Opp Vashi Railway Station, Sanpada, Navi Mumbai",400705,(022) 61630841,Monday-Sunday 8am - 9pm,
1674918536-420,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43265/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No 7, Plot No 214, Ground Floor Rakhangi Mahal, Hutatma Chandrakant Shridhar Rane Marg, Worli, Mumbai",400018,(022) 49176958,Monday-Sunday 8am - 9pm,
1674918569-421,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43260/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No 19, Sun Swept Building, Plot No 535, Near Eden Sweets, Lokhandwala Complex, Andheri West, Mumbai",400053,(022) 61630850,Monday-Sunday 8am - 9pm,
1674918600-422,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43258/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No 4, Kamla Park, A-2, 60 Feet Road, Bhayandar West, Thane",401101,(022) 49176957,Monday-Sunday 8am - 9pm,
1674918631-423,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43255/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No 4, Kamla Park, A-2, 60 Feet Road, Bhayandar West, Thane",401101,(022) 49176957,Monday-Sunday 8am - 9pm,
1674918662-424,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43254/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No 7, Venture Bulding, Opp D Mart, Hiranandani Gardens, Powai, Mumbai",400076,(022) 61620659,Monday-Sunday 8am - 9pm,
1674918693-425,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43253/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No 11 &amp; 12, Building No F-1, Aditi Apartment, Sector 9, Vashi, Navi Mumbai",400703,(022) 49177096,Monday-Sunday 8am - 9pm,
1674918724-426,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43252/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No 7, Plot No 214, Ground Floor Rakhangi Mahal, Hutatma Chandrakant Shridhar Rane Marg, Worli, Mumbai",400018,(022) 49176958,Monday-Sunday 8am - 9pm,
1674918756-427,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43239/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No 19, Sun Swept Building, Plot No 535, Near Eden Sweets, Lokhandwala Complex, Andheri West, Mumbai",400053,(022) 61630850,Monday-Sunday 8am - 9pm,
1674918787-428,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43238/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No 1 &amp; 2, Amar Jyoti Chs Ltd, Opposite Nand Kumar Hall, Four Bunglows, Andheri West, Mumbai",400053,(022) 61630855,Monday-Sunday 8am - 9pm,
1674918818-429,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medicare Pvt Ltd,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43235/wellness-forever-medicare-pvt-ltd,Wellness Forever Medicare Pvt Ltd,"Shop No 3,Tirupati Apartment, Plot No 8, Seven Bungalows, J P Road, Andheri West, Mumbai",400061,(022) 61630849,Monday-Sunday 8am - 9pm,
1674918848-430,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Medical,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43521/wellness-forever-medical,Wellness Forever Medical,"Shop 1 Sanchita Building, Opposite Big Bazar, Kandivili Station East Road, Kandivali East, Mumbai",400101,9225101725,Monday-Sunday 8am - 9pm,
1674918879-431,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Lifestyle Chemists,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43538/wellness-forever-lifestyle-chemists,Wellness Forever Lifestyle Chemists,"Shop No 1 Raolicamp, Sardar Nagar No 1, Pratiksha Nagar, Sion Koliwada, Shivaji Chowk, Sion, Mumbai",400022,(022) 24031993,Monday-Sunday 8am - 9pm,
1674918911-432,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Lifestyle Chemists,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43503/wellness-forever-lifestyle-chemists,Wellness Forever Lifestyle Chemists,"Shop No 6a/6b, Ground Floor, Hira Niketan, Opposite Traffic Police Chowky, Ambadi Road Corner, Vasai Road West, Thane",401202,(0250) 2342055,Monday-Sunday 8am - 9pm,
1674918941-433,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Lifestyle Chemist ...,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43544/wellness-forever-lifestyle-chemist,Wellness Forever Lifestyle Chemist ...,"Ground Floor, Shop No 5, Despande Complex, Keswani C Omplex, Near Chopra Court, Ulhasnagar No 3, Thane",421003,(0251) 2703640,Monday-Sunday 8am - 9pm,
1674918972-434,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Lifestyle Chemist ...,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43387/wellness-forever-lifestyle-chemist,Wellness Forever Lifestyle Chemist ...,"Shop No 214, Rakhangi Mahal, Opposite Petrol Pump, Near Worli Post Office, Worli Naka, C S Rane Marg, Worli, Mumbai",400018,(022) 24918325,Monday-Sunday 8am - 9pm,
1674919003-435,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Lifestyle Chemist ...,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43371/wellness-forever-lifestyle-chemist,Wellness Forever Lifestyle Chemist ...,"Shop No 10 &amp; 11, Ground Floor, Niharika Shopping Plaza, Hiranandani Meadows, Pokhran Road No 2, Gladys Alwares Road, Thane West, Thane",400601,(022) 21715080,Monday-Sunday 8am - 9pm,
1674919034-436,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Lifestyle Chemist ...,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43266/wellness-forever-lifestyle-chemist,Wellness Forever Lifestyle Chemist ...,"Shop No B1 &amp; B2, Lokhandwala Township, Akurli Road, Kandivali East, Mumbai",400101,(022) 49176962,Monday-Sunday 8am - 9pm,
1674919064-437,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Lifestyle Chemist ...,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43234/wellness-forever-lifestyle-chemist,Wellness Forever Lifestyle Chemist ...,"105 Anand, Pali Hill, Opp Brownie Point, Next To SBI Bank, Pali Market, Bandra West, Mumbai",400050,(022) 61630431,Monday-Sunday 8am - 9pm,
1674919095-438,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Lifestyle Chemist,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43495/wellness-forever-lifestyle-chemist,Wellness Forever Lifestyle Chemist,"Shop No 3 &amp; 4, 545 Thawardas Bhuvwan, N S Road, Mulund West, Mumbai",400080,(022) 25615654,Monday-Sunday 8am - 9pm,
1674919126-439,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Lifestyle Chemist,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43271/wellness-forever-lifestyle-chemist,Wellness Forever Lifestyle Chemist,"Shop No 1 &amp; 2, Shreeji Arcade, Opposite Dena Bank, M G Road, Kandivali West, Mumbai",400067,(022) 61630417,Monday-Sunday 8am - 9pm,
1674919158-440,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Life Style Chemist...,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43366/wellness-forever-life-style-chemist,Wellness Forever Life Style Chemist...,"Shop No 14-A, Vaishnav Villa, Opposite Oriental Bank Of Commerce, Thakur Complex, Kandivali East, Mumbai",400101,(022) 28546386,Monday-Sunday 8am - 9pm,
1674919189-441,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever Lifestyle Chemist...,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43361/wellness-forever-lifestyle-chemist,Wellness Forever Lifestyle Chemist...,"Shop No 15/16/17, Ground Floor, Shreeji Arcade, Opp Nitin Company, Panchpakhadi, Thane West, Thane",400601,(022) 43541717,Monday-Sunday 8am - 9pm,
1674919219-442,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43694/wellness-forever,Wellness Forever,"Shop No 15,16,17b, Goyal Plaza, Below Old Thunga Hospital, Mira Bhayandar Road, Mira Road, Thane",401107,(022) 28123622,Monday-Sunday 8am - 9pm,
1674919250-443,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43661/wellness-forever,Wellness Forever,"Shop No 2,3, Kailash Kiran, Near Ashirwad Hospital, Tilak Road, Ghatkopar East, Mumbai",400075,(022) 21028377,Monday-Sunday 8am - 9pm,
1674919281-444,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43660/wellness-forever,Wellness Forever,"Shop No 14 Soopariwala Building, Opposite Kem Hospital, Parel, Mumbai",400012,(022) 24111338,Monday-Sunday 8am - 9pm,
1674919311-445,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43459/wellness-forever,Wellness Forever,"Shop No 1,2, Amar Jyotichs, Nanda Kripa Hall, Opposite Nandkishor Hall, J P Road, Andheri West, Andheri West, Mumbai",400053,(022) 26399201,Monday-Sunday 8am - 9pm,
1674919342-446,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellness Forever,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43245/wellness-forever,Wellness Forever,"Shop No 3 &amp; 4, A Wing, Kesar Chs Ltd, 239/A, Sector 3, Near Bhagwati Hotel, Charkop-Kandivali West, Mumbai",400067,(022) 61617072,Monday-Sunday 8am - 9pm,
1674919374-447,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Wellcare Chemist,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43683/wellcare-chemist,Wellcare Chemist,"5 Juhu Ruturaj Co Operative Housing Society, Opposite Sndt College, Juhu Tara Road, Juhu, Mumbai",400049,(022) 65651005,Monday-Sunday 8am - 9pm,
1674919404-448,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Welcome Medical Centre,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43534/welcome-medical-centre,Welcome Medical Centre,"Shop No 2, Villa Joffoma Building, Near Kesari Travels, Sitladevi Temple Road, Mahim, Mumbai",400016,(022) 24457757,Monday-Sunday 8am - 9pm,
1674919435-449,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Welcome Medical,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43625/welcome-medical,Welcome Medical,"Shop No 3, Anand Vihar, Plot No 39, 40, Sher-E-Punjab Soc, Oppt Gurudwara, Mahakali Caves Rd , sher e punjab, Andheri East, Mumbai",400093,(022) 28225825,Monday-Sunday 8am - 9pm,
1674919465-450,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Welcome Chemist,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43709/welcome-chemist,Welcome Chemist,"Shop No 3, Near Vishnu Prasad Desai Hall, V L Mehta Road, Vile Parle West, Mumbai",400056,(022) 26111796,Monday-Sunday 8am - 9pm,
1674919496-451,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Welcome Chemist,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43552/welcome-chemist,Welcome Chemist,"Mini Sudarshan Building, Opp Hanging Garden, Dr L D Ruparel Road, Malabar Hill, Mumbai",400006,(022) 23683323,Monday-Sunday 8am - 9pm,
1674919526-452,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Vipul Chemist,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43431/vipul-chemist,Vipul Chemist,"Shop No 2/3/4, Himalaya Society, Near Flora Chinese Restaurant, Worli Seaface Road, Worli, Mumbai",400018,(022) 24983940,Monday-Sunday 8am - 9pm,
1674919557-453,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Vijay Medical,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43634/vijay-medical,Vijay Medical,"95/3 , DR Ambedkar Road, Opp DR Ambedkar Statue, Khar West, Khar West, Mumbai",400052,(022) 26497697,Monday-Sunday 8am - 9pm,
1674919587-454,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Vega Chemist,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43682/vega-chemist,Vega Chemist,"Shop No 10, Vega Complex, Hiranandani Estate, Patlipada, Opposite Hiranandani Hospital, Ghodbhunder Road, Thane West, Thane",400601,(022) 25308420,Monday-Sunday 8am - 9pm,
1674919617-455,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Vedicure Wellness Clinic & Hospital...,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43546/vedicure-wellness-clinic-hospital,Vedicure Wellness Clinic & Hospital...,"31/32,Madhav Apts, 10,Ganesh Peth Lane,N C Kelkar Road, Dadar West, Mumbai",400028,(022) 24303521,Monday-Sunday 8am - 9pm,
1674919648-456,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Varsha Medical & General Store,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43487/varsha-medical-general-store,Varsha Medical & General Store,"205 ,harish shopping center, Opposite Railway Station, S V Road, Andheri West, Mumbai",400053,(022) 26234249,Monday-Sunday 8am - 9pm,
1674919679-457,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Variety Super Market,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43723/variety-super-market,Variety Super Market,"Legend Shop No 7, Plot No 95, Opposite Mala Tower, Lokhandwala Complex, Andheri West, Mumbai",400053,(022) 26397854,Monday-Sunday 8am - 9pm,
1674919709-458,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Vanita General Hopsital,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43299/vanita-general-hopsital,Vanita General Hopsital,"Blue Daimond Bldg, Near Old Sanjeevani Hosp, Malad East, Mumbai",400097,(022) 49185985,Monday-Sunday 8am - 9pm,
1674919740-459,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,United Medical & General Stores,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43480/united-medical-general-stores,United Medical & General Stores,"Shop No.11,Parvati CHS, Nr-Ganesh Sai Mandir, Yari Road, Andheri West, Mumbai",400061,(022) 26341212,Monday-Sunday 8am - 9pm,
1674919771-460,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,United Medical & General Stores,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43263/united-medical-general-stores,United Medical & General Stores,"Shop No 261, Ground Floor, Ripon House, Near City Center, Next To Balwas Hotel, Opposite Mehandi Masjid, Jehangir Boman Behram Marg, Mumbai Central, Mumbai",400008,(022) 67732264,Monday-Sunday 8am - 9pm,
1674919802-461,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,United Medical & General Stores,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43251/united-medical-general-stores,United Medical & General Stores,"Shop No 261, Ground Floor, Ripon House, Near City Center, Next To Balwas Hotel, Opposite Mehandi Masjid, Jehangir Boman Behram Marg, Mumbai Central, Mumbai",400008,(022) 67732264,Monday-Sunday 8am - 9pm,
1674919833-462,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Unique Chemist,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43581/unique-chemist,Unique Chemist,"Shop No 5, Seeta Mahal Building, Next To Parsi General Hospital Breach Candy, Bomanji Petit Road, Napensea Road, Mumbai",400004,(022) 23883940,Monday-Sunday 8am - 9pm,
1674919863-463,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Umama Medical & General Store,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43574/umama-medical-general-store,Umama Medical & General Store,"Shop No 2-A, Near JJ Hospital, R.B Marg, Dongri, Mumbai",400009,(022) 23745697,Monday-Sunday 8am - 9pm,
1674919894-464,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Tulsi Medical & General Stores (Hea...,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43442/tulsi-medical-general-stores-hea,Tulsi Medical & General Stores (Hea...,"2/204, Sukh Sagar Building, Near Geo JIT Finance, P N Post Office, Station Avenue Road, D K Sandu Marg, Chembur East, Mumbai",400071,(022) 25289025,Monday-Sunday 8am - 9pm,
1674919925-465,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Tulsi Medical & General Stores,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43520/tulsi-medical-general-stores,Tulsi Medical & General Stores,"7, Daffodil Apartments, Near Tiss, Sion Trombay Road, Deonar, Mumbai",400088,(022) 25482006,Monday-Sunday 8am - 9pm,
1674919955-466,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,The Parel Chemist,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43259/the-parel-chemist,The Parel Chemist,"Shop No.6/7, Lahar Bros Mansion, Opposite Kem Hospital, Dr E Moses Road, Parel, Mumbai",400012,(022) 61618977,Monday-Sunday 8am - 9pm,
1674919986-467,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,The New Rajputana Medical & General...,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43583/the-new-rajputana-medical-general,The New Rajputana Medical & General...,"4,Bhatt Chawl, Near Azad Shopping Centre, Station Road, Goregaon West, Mumbai",400062,(022) 28768875,Monday-Sunday 8am - 9pm,
1674920017-468,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,The All India Drugs King,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43535/the-all-india-drugs-king,The All India Drugs King,"2 Pradhan Building, Opposite Tip Top Mithai, Station Road, Thane West, Thane",400601,(022) 25428368,Monday-Sunday 8am - 9pm,
1674920047-469,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Take Care Chemist,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43405/take-care-chemist,Take Care Chemist,"Matru Ashish, L D Ruparel Marg, Napean Sea Road, Mumbai",400036,(022) 23639341,Monday-Sunday 8am - 9pm,
1674920078-470,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Surya Medical & General Store,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43679/surya-medical-general-store,Surya Medical & General Store,"Shop No 7 8 9 10 Prasad Shopping Center, Opposite Goregaon Railway Station, Station Road, Goregaon West, Mumbai",400062,(022) 28759600,Monday-Sunday 8am - 9pm,
1674920109-471,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Supreme Medical & General Store,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43473/supreme-medical-general-store,Supreme Medical & General Store,"Shop No 3, Cypress Building, Hiranandani Gardens, Central Avenue Road, Powai, Mumbai",400076,(022) 61425705,Monday-Sunday 8am - 9pm,
1674920139-472,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Sunshine Medical & General store,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43712/sunshine-medical-general-store,Sunshine Medical & General store,"Shop No 11, Shiv Kesar Chs, Opposite Catholic Syrian Bank, Baptista Road, Vile Parle West, Mumbai",400056,(022) 26131603,Monday-Sunday 8am - 9pm,
1674920170-473,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Suman Medical & General Stores,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43241/suman-medical-general-stores,Suman Medical & General Stores,"Shop No 9, Eden Rose Shopping Centre, Beverly Park, Opp Cinemax, Kanakia Road, Mira Road, Thane",401107,(022) 67309639,Monday-Sunday 8am - 9pm,
1674920201-474,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Sukh Sagar Chemist,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43635/sukh-sagar-chemist,Sukh Sagar Chemist,"5 Sukh Sagar Bldg, Near Sukh Sagar Juice Centre, Opp Raj Travels, S Patkar Marg, Hughes Road, Grant Road, Mumbai",400007,(022) 23618353,Monday-Sunday 8am - 9pm,
1674920232-475,https://www.medicineindia.org/pharmacies-chemists-drugstores-in-city/529/mumbai,Suchak Hospital,https://www.medicineindia.org/pharmacy-chemist-drugstore-details/43323/suchak-hospital,Suchak Hospital,"Plot No 186, Opposite Manali Hotel, Near Malad Subway, Manchubhai Road, Malad East, Mumbai",400097,(022) 45109907,Monday-Sunday 8am - 9pm,
